"LODGEMENT DATE","LOCALITY NAME","POSTCODE","WEEKLY RENT AMOUNT"
"01-MAY-23","PERTH","6000","580"
"01-MAY-23","PERTH","6000","850"
"01-MAY-23","PERTH","6000","279"
"01-MAY-23","PERTH","6000","650"
"01-MAY-23","PERTH","6000","330"
"01-MAY-23","PERTH","6000","440"
"01-MAY-23","Perth","6000","196"
"01-MAY-23","Perth","6000","252"
"01-MAY-23","Perth","6000","196"
"01-MAY-23","EAST PERTH","6004","900"
"01-MAY-23","WEST PERTH","6005","570"
"01-MAY-23","SUBIACO","6008","645"
"01-MAY-23","SUBIACO","6008","650"
"01-MAY-23","NEDLANDS","6009","530"
"01-MAY-23","SWANBOURNE","6010","1150"
"01-MAY-23","WEMBLEY","6014","1000"
"01-MAY-23","SCARBOROUGH","6019","950"
"01-MAY-23","BALCATTA","6021","540"
"01-MAY-23","GREENWOOD","6024","230"
"01-MAY-23","CRAIGIE","6025","590"
"01-MAY-23","MULLALOO","6027","900"
"01-MAY-23","MERRIWA","6030","550"
"01-MAY-23","MINDARIE","6030","590"
"01-MAY-23","MOUNT LAWLEY","6050","580"
"01-MAY-23","MOUNT LAWLEY","6050","238"
"01-MAY-23","MIDLAND","6056","515"
"01-MAY-23","FORRESTFIELD","6058","450"
"01-MAY-23","TUART HILL","6060","590"
"01-MAY-23","ALEXANDER HEIGHTS","6064","550"
"01-MAY-23","HOCKING","6065","650"
"01-MAY-23","SINAGRA","6065","620"
"01-MAY-23","ELLENBROOK","6069","560"
"01-MAY-23","LESMURDIE","6076","450"
"01-MAY-23","VICTORIA PARK","6100","335"
"01-MAY-23","VICTORIA PARK","6100","600"
"01-MAY-23","BENTLEY","6102","395"
"01-MAY-23","ST JAMES","6102","650"
"01-MAY-23","ST JAMES","6102","450"
"01-MAY-23","ST JAMES","6102","590"
"01-MAY-23","RIVERVALE","6103","465"
"01-MAY-23","RIVERVALE","6103","330"
"01-MAY-23","REDCLIFFE","6104","630"
"01-MAY-23","CANNINGTON","6107","500"
"01-MAY-23","EAST CANNINGTON","6107","470"
"01-MAY-23","QUEENS PARK","6107","600"
"01-MAY-23","CAMILLO","6111","450"
"01-MAY-23","CAMILLO","6111","430"
"01-MAY-23","BROOKDALE","6112","475"
"01-MAY-23","FORRESTDALE","6112","440"
"01-MAY-23","Harrisdale","6112","620"
"01-MAY-23","SEVILLE GROVE","6112","520"
"01-MAY-23","SEVILLE GROVE","6112","540"
"01-MAY-23","BYFORD","6122","590"
"01-MAY-23","LANGFORD","6147","600"
"01-MAY-23","PARKWOOD","6147","645"
"01-MAY-23","FERNDALE","6148","450"
"01-MAY-23","WINTHROP","6150","220"
"01-MAY-23","SOUTH PERTH","6151","495"
"01-MAY-23","APPLECROSS","6153","660"
"01-MAY-23","CANNING VALE","6155","800"
"01-MAY-23","Canning Vale","6155","650"
"01-MAY-23","WILLETTON","6155","500"
"01-MAY-23","BICTON","6157","950"
"01-MAY-23","BICTON","6157","480"
"01-MAY-23","Fremantle ","6160","500"
"01-MAY-23","LAKE COOGEE","6166","550"
"01-MAY-23","MEDINA","6167","480"
"01-MAY-23","ROCKINGHAM","6168","675"
"01-MAY-23","ROCKINGHAM","6168","365"
"01-MAY-23","ROCKINGHAM","6168","493"
"01-MAY-23","WARNBRO","6169","550"
"01-MAY-23","KARNUP","6176","550"
"01-MAY-23","GREENFIELDS","6210","450"
"01-MAY-23","HALLS HEAD","6210","430"
"01-MAY-23","MANDURAH","6210","480"
"01-MAY-23","WANNANUP","6210","650"
