"LODGEMENT DATE","LOCALITY NAME","POSTCODE","WEEKLY RENT AMOUNT"
"01-FEB-24","PERTH","6000","850"
"01-FEB-24","PERTH","6000","579"
"01-FEB-24","PERTH","6000","299"
"01-FEB-24","PERTH","6000","600"
"01-FEB-24","PERTH","6000","500"
"01-FEB-24","PERTH","6000","650"
"01-FEB-24","PERTH","6000","550"
"01-FEB-24","PERTH","6000","700"
"01-FEB-24","PERTH","6000","589"
"01-FEB-24","PERTH","6000","700"
"01-FEB-24","PERTH","6000","308"
"01-FEB-24","PERTH","6000","650"
"01-FEB-24","PERTH","6000","600"
"01-FEB-24","PERTH","6000","450"
"01-FEB-24","PERTH","6000","435"
"01-FEB-24","PERTH","6000","405"
"01-FEB-24","PERTH","6000","635"
"01-FEB-24","Perth","6000","539"
"01-FEB-24","HIGHGATE","6003","480"
"01-FEB-24","EAST PERTH","6004","1160"
"01-FEB-24","EAST PERTH","6004","580"
"01-FEB-24","EAST PERTH","6004","700"
"01-FEB-24","EAST PERTH","6004","600"
"01-FEB-24","EAST PERTH","6004","575"
"01-FEB-24","EAST PERTH","6004","975"
"01-FEB-24","EAST PERTH","6004","450"
"01-FEB-24","EAST PERTH","6004","970"
"01-FEB-24","EAST PERTH","6004","560"
"01-FEB-24","EAST PERTH","6004","720"
"01-FEB-24","NORTH PERTH","6006","650"
"01-FEB-24","NORTH PERTH","6006","740"
"01-FEB-24","NORTH PERTH","6006","1400"
"01-FEB-24","LEEDERVILLE","6007","425"
"01-FEB-24","LEEDERVILLE","6007","725"
"01-FEB-24","LEEDERVILLE","6007","600"
"01-FEB-24","SUBIACO","6008","525"
"01-FEB-24","SUBIACO","6008","1313"
"01-FEB-24","CRAWLEY","6009","600"
"01-FEB-24","NEDLANDS","6009","1200"
"01-FEB-24","NEDLANDS","6009","450"
"01-FEB-24","CLAREMONT","6010","390"
"01-FEB-24","CLAREMONT","6010","390"
"01-FEB-24","COTTESLOE","6011","850"
"01-FEB-24","PEPPERMINT GROVE","6011","1400"
"01-FEB-24","MOSMAN PARK","6012","855"
"01-FEB-24","FLOREAT","6014","600"
"01-FEB-24","JOLIMONT","6014","1300"
"01-FEB-24","WEMBLEY","6014","520"
"01-FEB-24","WEMBLEY","6014","725"
"01-FEB-24","MOUNT HAWTHORN","6016","550"
"01-FEB-24","OSBORNE PARK","6017","400"
"01-FEB-24","DOUBLEVIEW","6018","650"
"01-FEB-24","INNALOO","6018","650"
"01-FEB-24","INNALOO","6018","720"
"01-FEB-24","INNALOO","6018","900"
"01-FEB-24","KARRINYUP","6018","690"
"01-FEB-24","SCARBOROUGH","6019","700"
"01-FEB-24","SCARBOROUGH","6019","550"
"01-FEB-24","SCARBOROUGH","6019","600"
"01-FEB-24","SCARBOROUGH","6019","450"
"01-FEB-24","WEMBLEY DOWNS","6019","1300"
"01-FEB-24","CARINE","6020","850"
"01-FEB-24","NORTH BEACH","6020","860"
"01-FEB-24","BALCATTA","6021","450"
"01-FEB-24","BALCATTA","6021","450"
"01-FEB-24","BALCATTA","6021","600"
"01-FEB-24","STIRLING","6021","510"
"01-FEB-24","DUNCRAIG","6023","950"
"01-FEB-24","GREENWOOD","6024","550"
"01-FEB-24","WARWICK","6024","775"
"01-FEB-24","CRAIGIE","6025","650"
"01-FEB-24","HILLARYS","6025","720"
"01-FEB-24","HILLARYS","6025","695"
"01-FEB-24","HILLARYS","6025","550"
"01-FEB-24","PADBURY","6025","570"
"01-FEB-24","PADBURY","6025","620"
"01-FEB-24","WOODVALE","6026","700"
"01-FEB-24","HEATHRIDGE","6027","485"
"01-FEB-24","JOONDALUP","6027","240.7"
"01-FEB-24","JOONDALUP","6027","550"
"01-FEB-24","ILUKA","6028","1300"
"01-FEB-24","CLARKSON","6030","650"
"01-FEB-24","MINDARIE","6030","850"
"01-FEB-24","MINDARIE","6030","880"
"01-FEB-24","EGLINTON","6034","650"
"01-FEB-24","YANCHEP","6035","860"
"01-FEB-24","YANCHEP","6035","550"
"01-FEB-24","BUTLER","6036","500"
"01-FEB-24","ALKIMOS","6038","540"
"01-FEB-24","Alkimos","6038","680"
"01-FEB-24","MOUNT LAWLEY","6050","950"
"01-FEB-24","MOUNT LAWLEY","6050","950"
"01-FEB-24","MOUNT LAWLEY","6050","241.7"
"01-FEB-24","MAYLANDS","6051","325"
"01-FEB-24","MAYLANDS","6051","475"
"01-FEB-24","MAYLANDS","6051","400"
"01-FEB-24","MAYLANDS","6051","440"
"01-FEB-24","BAYSWATER","6053","600"
"01-FEB-24","BASSENDEAN","6054","760"
"01-FEB-24","BRABHAM","6055","550"
"01-FEB-24","CAVERSHAM","6055","276.5"
"01-FEB-24","CAVERSHAM","6055","1000"
"01-FEB-24","BELLEVUE","6056","540"
"01-FEB-24","MIDVALE","6056","670"
"01-FEB-24","WOODBRIDGE","6056","700"
"01-FEB-24","HIGH WYCOMBE","6057","750"
"01-FEB-24","FORRESTFIELD","6058","550"
"01-FEB-24","DIANELLA","6059","890"
"01-FEB-24","DIANELLA","6059","500"
"01-FEB-24","DIANELLA","6059","550"
"01-FEB-24","JOONDANNA","6060","725"
"01-FEB-24","YOKINE","6060","255"
"01-FEB-24","YOKINE","6060","550"
"01-FEB-24","YOKINE","6060","455.45"
"01-FEB-24","YOKINE","6060","450"
"01-FEB-24","BALGA","6061","400"
"01-FEB-24","BALGA","6061","550"
"01-FEB-24","BALGA","6061","650"
"01-FEB-24","MIRRABOOKA","6061","550"
"01-FEB-24","NOLLAMARA","6061","560"
"01-FEB-24","NOLLAMARA","6061","620"
"01-FEB-24","WESTMINSTER","6061","600"
"01-FEB-24","MORLEY","6062","600"
"01-FEB-24","MORLEY","6062","700"
"01-FEB-24","MORLEY","6062","700"
"01-FEB-24","BEECHBORO","6063","600"
"01-FEB-24","BENNETT SPRINGS","6063","700"
"01-FEB-24","ALEXANDER HEIGHTS","6064","620"
"01-FEB-24","GIRRAWHEEN","6064","550"
"01-FEB-24","ASHBY","6065","720"
"01-FEB-24","DARCH","6065","650"
"01-FEB-24","HOCKING","6065","650"
"01-FEB-24","LANDSDALE","6065","830"
"01-FEB-24","MADELEY","6065","740"
"01-FEB-24","WANNEROO","6065","660"
"01-FEB-24","AVELEY","6069","350"
"01-FEB-24","ELLENBROOK","6069","630"
"01-FEB-24","ELLENBROOK","6069","560"
"01-FEB-24","ELLENBROOK","6069","490"
"01-FEB-24","LESMURDIE","6076","300"
"01-FEB-24","BURSWOOD","6100","620"
"01-FEB-24","BURSWOOD","6100","730"
"01-FEB-24","LATHLAIN","6100","950"
"01-FEB-24","VICTORIA PARK","6100","795"
"01-FEB-24","VICTORIA PARK","6100","400"
"01-FEB-24","CARLISLE","6101","600"
"01-FEB-24","EAST VICTORIA PARK","6101","550"
"01-FEB-24","EAST VICTORIA PARK","6101","730"
"01-FEB-24","EAST VICTORIA PARK","6101","900"
"01-FEB-24","EAST VICTORIA PARK","6101","720"
"01-FEB-24","EAST VICTORIA PARK","6101","700"
"01-FEB-24","BENTLEY","6102","240"
"01-FEB-24","ST JAMES","6102","550"
"01-FEB-24","RIVERVALE","6103","500"
"01-FEB-24","RIVERVALE","6103","420"
"01-FEB-24","RIVERVALE","6103","750"
"01-FEB-24","RIVERVALE","6103","700"
"01-FEB-24","ASCOT","6104","1100"
"01-FEB-24","BELMONT","6104","800"
"01-FEB-24","BELMONT","6104","585"
"01-FEB-24","BELMONT","6104","520"
"01-FEB-24","REDCLIFFE","6104","520"
"01-FEB-24","CLOVERDALE","6105","550"
"01-FEB-24","CLOVERDALE","6105","630"
"01-FEB-24","CANNINGTON","6107","620"
"01-FEB-24","EAST CANNINGTON","6107","530"
"01-FEB-24","KENWICK","6107","670"
"01-FEB-24","KENWICK","6107","600"
"01-FEB-24","QUEENS PARK","6107","330"
"01-FEB-24","WATTLE GROVE","6107","720"
"01-FEB-24","WILSON","6107","600"
"01-FEB-24","MADDINGTON","6109","500"
"01-FEB-24","GOSNELLS","6110","650"
"01-FEB-24","GOSNELLS","6110","600"
"01-FEB-24","GOSNELLS","6110","545"
"01-FEB-24","GOSNELLS","6110","550"
"01-FEB-24","GOSNELLS","6110","600"
"01-FEB-24","GOSNELLS","6110","530"
"01-FEB-24","GOSNELLS","6110","680"
"01-FEB-24","KELMSCOTT","6111","480"
"01-FEB-24","KELMSCOTT","6111","620"
"01-FEB-24","ARMADALE","6112","550"
"01-FEB-24","ARMADALE","6112","400"
"01-FEB-24","HARRISDALE","6112","800"
"01-FEB-24","SEVILLE GROVE","6112","550"
"01-FEB-24","SEVILLE GROVE","6112","600"
"01-FEB-24","BYFORD","6122","680"
"01-FEB-24","BYFORD","6122","650"
"01-FEB-24","LANGFORD","6147","650"
"01-FEB-24","PARKWOOD","6147","700"
"01-FEB-24","RIVERTON","6148","860"
"01-FEB-24","BULL CREEK","6149","1000"
"01-FEB-24","BULL CREEK","6149","850"
"01-FEB-24","BATEMAN","6150","240"
"01-FEB-24","MURDOCH","6150","265"
"01-FEB-24","SOUTH PERTH","6151","550"
"01-FEB-24","SOUTH PERTH","6151","1500"
"01-FEB-24","SOUTH PERTH","6151","1200"
"01-FEB-24","SOUTH PERTH","6151","450"
"01-FEB-24","SOUTH PERTH","6151","175"
