"LODGEMENT DATE","LOCALITY NAME","POSTCODE","WEEKLY RENT AMOUNT"
"01-MAR-23","PERTH","6000","299"
"01-MAR-23","PERTH","6000","540"
"01-MAR-23","PERTH","6000","550"
"01-MAR-23","PERTH","6000","420"
"01-MAR-23","PERTH","6000","620"
"01-MAR-23","PERTH","6000","630"
"01-MAR-23","PERTH","6000","550"
"01-MAR-23","PERTH","6000","349"
"01-MAR-23","PERTH","6000","419"
"01-MAR-23","PERTH","6000","750"
"01-MAR-23","PERTH","6000","300"
"01-MAR-23","PERTH","6000","259"
"01-MAR-23","PERTH","6000","399"
"01-MAR-23","PERTH","6000","500"
"01-MAR-23","PERTH","6000","700"
"01-MAR-23","PERTH","6000","319"
"01-MAR-23","PERTH","6000","650"
"01-MAR-23","PERTH","6000","315"
"01-MAR-23","PERTH","6000","550"
"01-MAR-23","PERTH","6000","315"
"01-MAR-23","PERTH","6000","349"
"01-MAR-23","Perth","6000","280"
"01-MAR-23","Perth","6000","182"
"01-MAR-23","Perth","6000","249"
"01-MAR-23","Perth","6000","249"
"01-MAR-23","EAST PERTH","6004","470"
"01-MAR-23","EAST PERTH","6004","400"
"01-MAR-23","EAST PERTH","6004","169"
"01-MAR-23","EAST PERTH","6004","710"
"01-MAR-23","WEST PERTH","6005","675"
"01-MAR-23","LEEDERVILLE","6007","750"
"01-MAR-23","LEEDERVILLE","6007","625"
"01-MAR-23","LEEDERVILLE","6007","760"
"01-MAR-23","LEEDERVILLE","6007","175"
"01-MAR-23","LEEDERVILLE","6007","175"
"01-MAR-23","WEST LEEDERVILLE","6007","680"
"01-MAR-23","SUBIACO","6008","680"
"01-MAR-23","SUBIACO","6008","795"
"01-MAR-23","CRAWLEY","6009","430"
"01-MAR-23","CLAREMONT","6010","430"
"01-MAR-23","MOUNT CLAREMONT","6010","1400"
"01-MAR-23","MOSMAN PARK","6012","1200"
"01-MAR-23","FLOREAT","6014","1400"
"01-MAR-23","FLOREAT","6014","750"
"01-MAR-23","JOLIMONT","6014","500"
"01-MAR-23","MOUNT HAWTHORN","6016","1350"
"01-MAR-23","OSBORNE PARK","6017","850"
"01-MAR-23","OSBORNE PARK","6017","460"
"01-MAR-23","OSBORNE PARK","6017","400"
"01-MAR-23","OSBORNE PARK","6017","360"
"01-MAR-23","CHURCHLANDS","6018","620"
"01-MAR-23","CHURCHLANDS","6018","450"
"01-MAR-23","DOUBLEVIEW","6018","700"
"01-MAR-23","DOUBLEVIEW","6018","700"
"01-MAR-23","DOUBLEVIEW","6018","1200"
"01-MAR-23","DOUBLEVIEW","6018","1200"
"01-MAR-23","INNALOO","6018","600"
"01-MAR-23","KARRINYUP","6018","750"
"01-MAR-23","SCARBOROUGH","6019","520"
"01-MAR-23","SCARBOROUGH","6019","580"
"01-MAR-23","SCARBOROUGH","6019","550"
"01-MAR-23","CARINE","6020","300"
"01-MAR-23","WATERMANS BAY","6020","620"
"01-MAR-23","DUNCRAIG","6023","600"
"01-MAR-23","DUNCRAIG","6023","725"
"01-MAR-23","GREENWOOD","6024","450"
"01-MAR-23","WARWICK","6024","760"
"01-MAR-23","CRAIGIE","6025","630"
"01-MAR-23","PADBURY","6025","610"
"01-MAR-23","PADBURY","6025","600"
"01-MAR-23","BELDON","6027","500"
"01-MAR-23","CONNOLLY","6027","1100"
"01-MAR-23","HEATHRIDGE","6027","420"
"01-MAR-23","JOONDALUP","6027","237.2"
"01-MAR-23","JOONDALUP","6027","570"
"01-MAR-23","JOONDALUP","6027","350"
"01-MAR-23","MULLALOO","6027","860"
"01-MAR-23","KINROSS","6028","715"
"01-MAR-23","CLARKSON","6030","500"
"01-MAR-23","MERRIWA","6030","490"
"01-MAR-23","QUINNS ROCKS","6030","590"
"01-MAR-23","YANCHEP","6035","530"
"01-MAR-23","JINDALEE","6036","650"
"01-MAR-23","ALKIMOS","6038","650"
"01-MAR-23","MOUNT LAWLEY","6050","430"
"01-MAR-23","MOUNT LAWLEY","6050","700"
"01-MAR-23","MAYLANDS","6051","350"
"01-MAR-23","MAYLANDS","6051","450"
"01-MAR-23","MAYLANDS","6051","370"
"01-MAR-23","MAYLANDS","6051","670"
"01-MAR-23","MAYLANDS","6051","380"
"01-MAR-23","MAYLANDS","6051","550"
"01-MAR-23","BAYSWATER","6053","500"
"01-MAR-23","BAYSWATER","6053","520"
"01-MAR-23","BASSENDEAN","6054","620"
"01-MAR-23","BASSENDEAN","6054","650"
"01-MAR-23","BRABHAM","6055","520"
"01-MAR-23","BRABHAM","6055","470"
"01-MAR-23","MIDLAND","6056","420"
"01-MAR-23","MIDLAND","6056","420"
"01-MAR-23","WOODBRIDGE","6056","450"
"01-MAR-23","HIGH WYCOMBE","6057","460"
"01-MAR-23","FORRESTFIELD","6058","500"
"01-MAR-23","FORRESTFIELD","6058","475"
"01-MAR-23","TUART HILL","6060","550"
"01-MAR-23","YOKINE","6060","450"
"01-MAR-23","BALGA","6061","530"
"01-MAR-23","BALGA","6061","480"
"01-MAR-23","BALGA","6061","500"
"01-MAR-23","BALGA","6061","490"
"01-MAR-23","NOLLAMARA","6061","550"
"01-MAR-23","NOLLAMARA","6061","500"
"01-MAR-23","WESTMINSTER","6061","475"
"01-MAR-23","MORLEY","6062","450"
"01-MAR-23","ALEXANDER HEIGHTS","6064","480"
"01-MAR-23","GIRRAWHEEN","6064","580"
"01-MAR-23","LANDSDALE","6065","670"
"01-MAR-23","PEARSALL","6065","595"
"01-MAR-23","BALLAJURA","6066","450"
"01-MAR-23","BALLAJURA","6066","520"
"01-MAR-23","ELLENBROOK","6069","260"
"01-MAR-23","ELLENBROOK","6069","510"
"01-MAR-23","ELLENBROOK","6069","400"
"01-MAR-23","ELLENBROOK","6069","520"
"01-MAR-23","Ellenbrook","6069","570"
"01-MAR-23","BURSWOOD","6100","575"
"01-MAR-23","BURSWOOD","6100","1100"
"01-MAR-23","VICTORIA PARK","6100","300"
"01-MAR-23","CARLISLE","6101","560"
"01-MAR-23","CARLISLE","6101","540"
"01-MAR-23","EAST VICTORIA PARK","6101","550"
"01-MAR-23","EAST VICTORIA PARK","6101","550"
"01-MAR-23","BENTLEY","6102","690"
"01-MAR-23","BENTLEY","6102","600"
"01-MAR-23","ST JAMES","6102","550"
"01-MAR-23","ST JAMES","6102","450"
"01-MAR-23","ST JAMES","6102","230"
"01-MAR-23","RIVERVALE","6103","365"
"01-MAR-23","RIVERVALE","6103","650"
"01-MAR-23","RIVERVALE","6103","585"
"01-MAR-23","BELMONT","6104","510"
"01-MAR-23","BELMONT","6104","550"
"01-MAR-23","BELMONT","6104","660"
"01-MAR-23","REDCLIFFE","6104","640"
"01-MAR-23","KEWDALE","6105","550"
"01-MAR-23","BECKENHAM","6107","440"
"01-MAR-23","CANNINGTON","6107","480"
"01-MAR-23","CANNINGTON","6107","620"
"01-MAR-23","CANNINGTON","6107","550"
"01-MAR-23","KENWICK","6107","550"
"01-MAR-23","QUEENS PARK","6107","550"
"01-MAR-23","WILSON","6107","600"
"01-MAR-23","WILSON","6107","220"
"01-MAR-23","THORNLIE","6108","300"
"01-MAR-23","Thornlie","6108","520"
"01-MAR-23","Thornlie","6108","600"
"01-MAR-23","GOSNELLS","6110","320"
"01-MAR-23","GOSNELLS","6110","480"
"01-MAR-23","SOUTHERN RIVER","6110","400"
"01-MAR-23","KELMSCOTT","6111","420"
"01-MAR-23","ROLEYSTONE","6111","625"
"01-MAR-23","ARMADALE","6112","440"
"01-MAR-23","ARMADALE","6112","460"
"01-MAR-23","ARMADALE","6112","470"
"01-MAR-23","ARMADALE","6112","450"
"01-MAR-23","BROOKDALE","6112","420"
"01-MAR-23","HARRISDALE","6112","650"
"01-MAR-23","HAYNES","6112","580"
"01-MAR-23","PIARA WATERS","6112","540"
"01-MAR-23","PIARA WATERS","6112","750"
"01-MAR-23","SEVILLE GROVE","6112","420"
"01-MAR-23","SEVILLE GROVE","6112","575"
"01-MAR-23","PARKWOOD","6147","500"
"01-MAR-23","PARKWOOD","6147","410"
"01-MAR-23","SOUTH PERTH","6151","520"
"01-MAR-23","SOUTH PERTH","6151","360"
"01-MAR-23","SOUTH PERTH","6151","1100"
"01-MAR-23","COMO","6152","600"
"01-MAR-23","COMO","6152","400"
"01-MAR-23","COMO","6152","740"
"01-MAR-23","COMO","6152","850"
"01-MAR-23","COMO","6152","550"
"01-MAR-23","WATERFORD","6152","400"
"01-MAR-23","APPLECROSS","6153","650"
"01-MAR-23","APPLECROSS","6153","440"
"01-MAR-23","BRENTWOOD","6153","400"
"01-MAR-23","MOUNT PLEASANT","6153","660"
"01-MAR-23","CANNING VALE","6155","260"
"01-MAR-23","CANNING VALE","6155","670"
"01-MAR-23","MELVILLE","6156","475"
"01-MAR-23","PALMYRA","6157","420"
"01-MAR-23","NORTH FREMANTLE","6159","300"
"01-MAR-23","FREMANTLE","6160","700"
"01-MAR-23","FREMANTLE","6160","900"
"01-MAR-23","FREMANTLE","6160","380"
"01-MAR-23","FREMANTLE","6160","380"
"01-MAR-23","FREMANTLE","6160","1500"
"01-MAR-23","SOUTH FREMANTLE","6162","650"
"01-MAR-23","COOLBELLUP","6163","500"
"01-MAR-23","HAMILTON HILL","6163","350"
"01-MAR-23","KARDINYA","6163","550"
"01-MAR-23","SPEARWOOD","6163","400"
"01-MAR-23","SPEARWOOD","6163","450"
"01-MAR-23","SPEARWOOD","6163","490"
"01-MAR-23","HAMMOND PARK","6164","680"
"01-MAR-23","SOUTH LAKE","6164","370"
"01-MAR-23","SOUTH LAKE","6164","650"
"01-MAR-23","SUCCESS","6164","600"
"01-MAR-23","SUCCESS","6164","500"
"01-MAR-23","SUCCESS","6164","550"
"01-MAR-23","HOPE VALLEY","6165","450"
"01-MAR-23","ORELIA","6167","420"
"01-MAR-23","PARMELIA","6167","360"
"01-MAR-23","COOLOONGUP","6168","500"
"01-MAR-23","ROCKINGHAM","6168","340"
"01-MAR-23","SHOALWATER","6169","590"
"01-MAR-23","WAIKIKI","6169","560"
"01-MAR-23","BALDIVIS","6171","650"
"01-MAR-23","BALDIVIS","6171","550"
"01-MAR-23","BALDIVIS","6171","525"
"01-MAR-23","BALDIVIS","6171","690"
"01-MAR-23","SECRET HARBOUR","6173","550"
"01-MAR-23","SECRET HARBOUR","6173","580"
"01-MAR-23","GOLDEN BAY","6174","650"
"01-MAR-23","SINGLETON","6175","500"
"01-MAR-23","LAKELANDS","6180","550"
"01-MAR-23","PINJARRA","6208","420"
"01-MAR-23","ERSKINE","6210","460"
"01-MAR-23","ERSKINE","6210","500"
"01-MAR-23","GREENFIELDS","6210","450"
"01-MAR-23","HALLS HEAD","6210","800"
"01-MAR-23","MANDURAH","6210","275"
"01-MAR-23","MEADOW SPRINGS","6210","580"
"01-MAR-23","SAN REMO","6210","350"
"01-MAR-23","BOUVARD","6211","300"
"01-MAR-23","CAREY PARK","6230","300"
"01-MAR-23","COLLEGE GROVE","6230","480"
"01-MAR-23","DALYELLUP","6230","630"
"01-MAR-23","DALYELLUP","6230","480"
"01-MAR-23","DALYELLUP","6230","470"
"01-MAR-23","DALYELLUP","6230","570"
"01-MAR-23","AUSTRALIND","6233","750"
"01-MAR-23","AUSTRALIND","6233","580"
"01-MAR-23","GEOGRAPHE","6280","550"
"01-MAR-23","WEST BUSSELTON","6280","550"
"01-MAR-23","YALYALUP","6280","550"
"01-MAR-23","QUINDALUP","6281","390"
"01-MAR-23","MARGARET RIVER","6285","700"
"01-MAR-23","WAGIN","6315","180"
"01-MAR-23","KATANNING","6317","340"
"01-MAR-23","ALBANY","6330","520"
"01-MAR-23","MIRA MAR","6330","330"
"01-MAR-23","YAKAMIA","6330","234"
"01-MAR-23","NEWDEGATE","6355","256"
"01-MAR-23","CROSSMAN","6390","500"
"01-MAR-23","KALGOORLIE","6430","650"
"01-MAR-23","PICCADILLY","6430","600"
"01-MAR-23","SOMERVILLE","6430","720"
"01-MAR-23","BOULDER","6432","400"
"01-MAR-23","VICTORY HEIGHTS","6432","500"
"01-MAR-23","MUNDARING","6517","400"
"01-MAR-23","GERALDTON","6530","300"
"01-MAR-23","DENHAM","6537","450"
"01-MAR-23","WUNDOWIE","6560","400"
"01-MAR-23","BAYNTON","6714","1250"
"01-MAR-23","BAYNTON","6714","1400"
"01-MAR-23","SOUTH HEDLAND","6722","389"
"01-MAR-23","CABLE BEACH","6726","970"
"01-MAR-23","KUNUNURRA","6743","540"
"01-MAR-23","TOM PRICE","6751","1500"
"01-MAR-23","NEWMAN","6753","1450"
"01-MAR-23","NEWMAN","6753","400"
"02-MAR-23","PERTH","6000","800"
"02-MAR-23","PERTH","6000","465"
"02-MAR-23","PERTH","6000","550"
"02-MAR-23","PERTH","6000","439"
"02-MAR-23","PERTH","6000","399"
"02-MAR-23","PERTH","6000","580"
"02-MAR-23","PERTH","6000","500"
"02-MAR-23","PERTH","6000","600"
"02-MAR-23","PERTH","6000","299"
"02-MAR-23","PERTH","6000","680"
"02-MAR-23","HIGHGATE","6003","850"
"02-MAR-23","EAST PERTH","6004","900"
"02-MAR-23","EAST PERTH","6004","700"
"02-MAR-23","EAST PERTH","6004","540"
"02-MAR-23","EAST PERTH","6004","525"
"02-MAR-23","EAST PERTH","6004","520"
"02-MAR-23","WEST PERTH","6005","475"
"02-MAR-23","WEST PERTH","6005","420"
"02-MAR-23","NORTH PERTH","6006","558.67"
"02-MAR-23","NORTH PERTH","6006","580"
"02-MAR-23","LEEDERVILLE","6007","670"
"02-MAR-23","LEEDERVILLE","6007","575"
"02-MAR-23","SHENTON PARK","6008","750"
"02-MAR-23","SUBIACO","6008","700"
"02-MAR-23","SUBIACO","6008","875"
"02-MAR-23","SUBIACO","6008","1500"
"02-MAR-23","NEDLANDS","6009","680"
"02-MAR-23","CLAREMONT","6010","440"
"02-MAR-23","CLAREMONT","6010","885"
"02-MAR-23","CLAREMONT","6010","600"
"02-MAR-23","COTTESLOE","6011","500"
"02-MAR-23","MOSMAN PARK","6012","390"
"02-MAR-23","FLOREAT","6014","650"
"02-MAR-23","WEMBLEY","6014","550"
"02-MAR-23","WEMBLEY","6014","400"
"02-MAR-23","CITY BEACH","6015","850"
"02-MAR-23","GLENDALOUGH","6016","375"
"02-MAR-23","MOUNT HAWTHORN","6016","650"
"02-MAR-23","OSBORNE PARK","6017","400"
"02-MAR-23","CHURCHLANDS","6018","440"
"02-MAR-23","DOUBLEVIEW","6018","650"
"02-MAR-23","DOUBLEVIEW","6018","380"
"02-MAR-23","DOUBLEVIEW","6018","650"
"02-MAR-23","INNALOO","6018","750"
"02-MAR-23","INNALOO","6018","750"
"02-MAR-23","SCARBOROUGH","6019","675"
"02-MAR-23","STIRLING","6021","680"
"02-MAR-23","DUNCRAIG","6023","725"
"02-MAR-23","WARWICK","6024","625"
"02-MAR-23","KALLAROO","6025","500"
"02-MAR-23","PADBURY","6025","725"
"02-MAR-23","WOODVALE","6026","700"
"02-MAR-23","HEATHRIDGE","6027","620"
"02-MAR-23","HEATHRIDGE","6027","550"
"02-MAR-23","JOONDALUP","6027","500"
"02-MAR-23","JOONDALUP","6027","200"
"02-MAR-23","JOONDALUP","6027","230"
"02-MAR-23","JOONDALUP","6027","237.2"
"02-MAR-23","MULLALOO","6027","650"
"02-MAR-23","BURNS BEACH","6028","660"
"02-MAR-23","KINROSS","6028","650"
"02-MAR-23","MERRIWA","6030","450"
"02-MAR-23","QUINNS ROCKS","6030","600"
"02-MAR-23","YANCHEP","6035","500"
"02-MAR-23","YANCHEP","6035","475"
"02-MAR-23","JINDALEE","6036","590"
"02-MAR-23","MOUNT LAWLEY","6050","410"
"02-MAR-23","MOUNT LAWLEY","6050","350"
"02-MAR-23","MOUNT LAWLEY","6050","550"
"02-MAR-23","MAYLANDS","6051","575"
"02-MAR-23","MAYLANDS","6051","340"
"02-MAR-23","MAYLANDS","6051","250"
"02-MAR-23","BEDFORD","6052","400"
"02-MAR-23","BAYSWATER","6053","580"
"02-MAR-23","BAYSWATER","6053","400"
"02-MAR-23","BAYSWATER","6053","720"
"02-MAR-23","BAYSWATER","6053","560"
"02-MAR-23","KIARA","6054","650"
"02-MAR-23","HAZELMERE","6055","610"
"02-MAR-23","KOONGAMIA","6056","380"
"02-MAR-23","MIDDLE SWAN","6056","580"
"02-MAR-23","MIDLAND","6056","430"
"02-MAR-23","MIDLAND","6056","425"
"02-MAR-23","MIDLAND","6056","480"
"02-MAR-23","SWAN VIEW","6056","400"
"02-MAR-23","VIVEASH","6056","500"
"02-MAR-23","MAIDA VALE","6057","520"
"02-MAR-23","FORRESTFIELD","6058","420"
"02-MAR-23","FORRESTFIELD","6058","480"
"02-MAR-23","DIANELLA","6059","660"
"02-MAR-23","DIANELLA","6059","330"
"02-MAR-23","JOONDANNA","6060","600"
"02-MAR-23","JOONDANNA","6060","450"
"02-MAR-23","JOONDANNA","6060","660"
"02-MAR-23","TUART HILL","6060","580"
"02-MAR-23","BALGA","6061","440"
"02-MAR-23","BALGA","6061","500"
"02-MAR-23","BALGA","6061","500"
"02-MAR-23","Balga","6061","480"
